Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CuurentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-03-18,ALB,Albania,Elbasan,41.040028,20.186454,2,0,0,2,,,False,False
2020-03-18,ALB,Albania,Fier,40.774633,19.620528,6,0,0,6,,,False,False
2020-03-18,ALB,Albania,Tiranë,41.268583,19.793936,42,0,0,42,0,0,False,False
2020-03-18,AND,Andorra,Andorra,42.542268,1.596865,39,0,0,39,,,False,False
2020-03-18,AUT,Austria,Burgenland,47.541449,16.520206,20,,,,,,True,True
2020-03-18,AUT,Austria,Kärnten,46.715832,14.455532,41,,,,,,True,True
2020-03-18,AUT,Austria,Niederösterreich,48.27051,15.763245,256,,,,,,True,True
2020-03-18,AUT,Austria,Oberösterreich,48.138166,13.964295,305,,,,,,True,True
2020-03-18,AUT,Austria,Salzburg,47.254051,13.032653,89,,,,,,True,True
2020-03-18,AUT,Austria,Steiermark,47.187361,15.518046,220,,,,,,True,True
2020-03-18,AUT,Austria,Tirol,47.209023,11.397603,328,,,,,,True,True
2020-03-18,AUT,Austria,Vorarlberg,47.240149,9.896366,124,,,,,,True,True
2020-03-18,AUT,Austria,Wien,48.21141,16.380038,209,,,,,,True,True
2020-03-18,BLR,Belarus,Belarus,53.711111,27.973847,36,0,0,36,0,0,False,False
2020-03-18,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,43.892652,17.670584,15,0,0,15,0,0,False,False
2020-03-18,HRV,Croatia,Brodsko-Posavska,45.142404,17.821388,1,0,0,1,,,True,True
2020-03-18,HRV,Croatia,Grad Zagreb,45.742196,16.008116,30,0,0,30,,,True,True
2020-03-18,HRV,Croatia,Istarska,45.203521,13.895312,6,0,0,6,,,True,True
2020-03-18,HRV,Croatia,Karlovačka,45.292126,15.46427,1,0,0,1,,,True,True
2020-03-18,HRV,Croatia,Osječko-baranjska,45.56139,18.442456,7,0,0,7,,,True,True
