Country,TotDays,TotPopLock,Population
Austria,593537925,8858775,8858775
Belgium,9164415,11455519,11455519
Bulgaria,0,0,7000039
Croatia,0,0,4076246
Cyprus,0,0,875899
Czech Republic,1357849500,10649800,10649800
Denmark,581769316,5806081,5806081
Estonia,125725418,1324820,1324820
Finland,0,0,5517919
France,8510636141,67012883,67012883
Germany,0,0,83019213
Greece,0,0,10724599
Hungary,1249935492,9772756,9772756
Ireland,84843352,4904240,4904240
Italy,3983730035,60359546,60359546
Latvia,0,0,1919968
Lithuania,0,0,2794184
Luxembourg,0,0,613894
Malta,0,0,493559
Netherlands,1572676832,17282163,17282163
Poland,0,0,37972812
Portugal,1007108466,10276617,10276617
Romania,0,0,19414458
Slovakia,421317543,5450421,5450421
Slovenia,157524735,2080908,2080908
Spain,6167529684,46937060,46937060
Sweden,0,0,10230185
